FECHA,AIRQ_CO2,DATASET
1850,15.1396,DATASET_05_1850_2012_GER
1851,16.8691,DATASET_05_1850_2012_GER
1852,19.1737,DATASET_05_1850_2012_GER
1853,20.7602,DATASET_05_1850_2012_GER
1854,24.3656,DATASET_05_1850_2012_GER
1855,28.6158,DATASET_05_1850_2012_GER
1856,30.9242,DATASET_05_1850_2012_GER
1857,32.9394,DATASET_05_1850_2012_GER
1858,35.6104,DATASET_05_1850_2012_GER
1859,33.8077,DATASET_05_1850_2012_GER
1860,36.3945,DATASET_05_1850_2012_GER
1861,41.3299,DATASET_05_1850_2012_GER
1862,45.5399,DATASET_05_1850_2012_GER
1863,49.3834,DATASET_05_1850_2012_GER
1864,56.6418,DATASET_05_1850_2012_GER
1865,63.4678,DATASET_05_1850_2012_GER
1866,62.9072,DATASET_05_1850_2012_GER
1867,69.1543,DATASET_05_1850_2012_GER
1868,74.3682,DATASET_05_1850_2012_GER
1869,77.5925,DATASET_05_1850_2012_GER
1870,76.6362,DATASET_05_1850_2012_GER
1871,85.3492,DATASET_05_1850_2012_GER
1872,92.113,DATASET_05_1850_2012_GER
1873,98.3674,DATASET_05_1850_2012_GER
1874,71.5946,DATASET_05_1850_2012_GER
1875,101.5184,DATASET_05_1850_2012_GER
1876,103.4347,DATASET_05_1850_2012_GER
1877,101.3023,DATASET_05_1850_2012_GER
1878,104.5449,DATASET_05_1850_2012_GER
1879,110.847,DATASET_05_1850_2012_GER
1880,124.5027,DATASET_05_1850_2012_GER
1881,134.2636,DATASET_05_1850_2012_GER
1882,143.6654,DATASET_05_1850_2012_GER
1883,153.0929,DATASET_05_1850_2012_GER
1884,157.5264,DATASET_05_1850_2012_GER
1885,161.1867,DATASET_05_1850_2012_GER
1886,163.0333,DATASET_05_1850_2012_GER
1887,170.3907,DATASET_05_1850_2012_GER
1888,186.3474,DATASET_05_1850_2012_GER
1889,198.8453,DATASET_05_1850_2012_GER
1890,208.2324,DATASET_05_1850_2012_GER
1891,220.8439,DATASET_05_1850_2012_GER
1892,214.9925,DATASET_05_1850_2012_GER
1893,220.712,DATASET_05_1850_2012_GER
1894,229.4946,DATASET_05_1850_2012_GER
1895,238.2809,DATASET_05_1850_2012_GER
1896,256.2638,DATASET_05_1850_2012_GER
1897,273.5542,DATASET_05_1850_2012_GER
1898,285.3743,DATASET_05_1850_2012_GER
1899,303.2803,DATASET_05_1850_2012_GER
1900,326.7592,DATASET_05_1850_2012_GER
1901,325.5574,DATASET_05_1850_2012_GER
1902,319.1857,DATASET_05_1850_2012_GER
1903,343.5953,DATASET_05_1850_2012_GER
1904,356.1261,DATASET_05_1850_2012_GER
1905,382.3237,DATASET_05_1850_2012_GER
1906,361.9409,DATASET_05_1850_2012_GER
1907,442.1825,DATASET_05_1850_2012_GER
1908,446.6416,DATASET_05_1850_2012_GER
1909,445.5754,DATASET_05_1850_2012_GER
1910,445.3665,DATASET_05_1850_2012_GER
1911,458.5862,DATASET_05_1850_2012_GER
1912,499.1211,DATASET_05_1850_2012_GER
1913,535.0832,DATASET_05_1850_2012_GER
1914,497.9266,DATASET_05_1850_2012_GER
1915,462.9061,DATASET_05_1850_2012_GER
1916,500.6966,DATASET_05_1850_2012_GER
1917,524.5749,DATASET_05_1850_2012_GER
1918,503.4226,DATASET_05_1850_2012_GER
1919,387.4277,DATASET_05_1850_2012_GER
1920,429.2083,DATASET_05_1850_2012_GER
1921,473.18,DATASET_05_1850_2012_GER
1922,455.4608,DATASET_05_1850_2012_GER
1923,331.9328,DATASET_05_1850_2012_GER
1924,451.7895,DATASET_05_1850_2012_GER
1925,458.066,DATASET_05_1850_2012_GER
1926,413.2406,DATASET_05_1850_2012_GER
1927,481.0466,DATASET_05_1850_2012_GER
1928,504.8882,DATASET_05_1850_2012_GER
1929,538.9707,DATASET_05_1850_2012_GER
1930,461.7336,DATASET_05_1850_2012_GER
1931,385.5994,DATASET_05_1850_2012_GER
1932,347.3179,DATASET_05_1850_2012_GER
1933,364.8538,DATASET_05_1850_2012_GER
1934,408.6459,DATASET_05_1850_2012_GER
1935,452.3684,DATASET_05_1850_2012_GER
1936,499.6853,DATASET_05_1850_2012_GER
1937,563.5635,DATASET_05_1850_2012_GER
1938,601.3357,DATASET_05_1850_2012_GER
1939,648.6819,DATASET_05_1850_2012_GER
1940,654.3648,DATASET_05_1850_2012_GER
1941,660.8354,DATASET_05_1850_2012_GER
1942,667.9289,DATASET_05_1850_2012_GER
1943,679.4632,DATASET_05_1850_2012_GER
1944,600.2731,DATASET_05_1850_2012_GER
1945,116.0645,DATASET_05_1850_2012_GER
1946,271.6929,DATASET_05_1850_2012_GER
1947,317.6725,DATASET_05_1850_2012_GER
1948,377.8427,DATASET_05_1850_2012_GER
1949,432.1871,DATASET_05_1850_2012_GER
1950,510.7323,DATASET_05_1850_2012_GER
1951,576.9151,DATASET_05_1850_2012_GER
1952,611.0453,DATASET_05_1850_2012_GER
1953,623.5615,DATASET_05_1850_2012_GER
1954,659.8095,DATASET_05_1850_2012_GER
1955,723.5814,DATASET_05_1850_2012_GER
1956,766.278,DATASET_05_1850_2012_GER
1957,778.0028,DATASET_05_1850_2012_GER
1958,756.4694,DATASET_05_1850_2012_GER
1959,755.9015,DATASET_05_1850_2012_GER
1960,814.0675,DATASET_05_1850_2012_GER
1961,834.9743,DATASET_05_1850_2012_GER
1962,883.3098,DATASET_05_1850_2012_GER
1963,945.6381,DATASET_05_1850_2012_GER
1964,969.073,DATASET_05_1850_2012_GER
1965,960.2648,DATASET_05_1850_2012_GER
1966,951.5848,DATASET_05_1850_2012_GER
1967,936.3865,DATASET_05_1850_2012_GER
1968,984.9528,DATASET_05_1850_2012_GER
1969,1052.1726,DATASET_05_1850_2012_GER
1970,1026.2095,DATASET_05_1850_2012_GER
1971,1003.2987,DATASET_05_1850_2012_GER
1972,1029.1555,DATASET_05_1850_2012_GER
1973,1078.3173,DATASET_05_1850_2012_GER
1974,1051.4986,DATASET_05_1850_2012_GER
1975,997.5123,DATASET_05_1850_2012_GER
1976,1055.543,DATASET_05_1850_2012_GER
1977,1039.8465,DATASET_05_1850_2012_GER
1978,1079.6807,DATASET_05_1850_2012_GER
1979,1128.2208,DATASET_05_1850_2012_GER
1980,1078.8534,DATASET_05_1850_2012_GER
1981,1044.0388,DATASET_05_1850_2012_GER
1982,1003.1698,DATASET_05_1850_2012_GER
1983,1004.9797,DATASET_05_1850_2012_GER
1984,1026.303,DATASET_05_1850_2012_GER
1985,1033.2304,DATASET_05_1850_2012_GER
1986,1035.5477,DATASET_05_1850_2012_GER
1987,1025.9853,DATASET_05_1850_2012_GER
1988,1020.5183,DATASET_05_1850_2012_GER
1989,997.1332,DATASET_05_1850_2012_GER
1990,968.46,DATASET_05_1850_2012_GER
1991,942.9715,DATASET_05_1850_2012_GER
1992,905.9345,DATASET_05_1850_2012_GER
1993,898.7834,DATASET_05_1850_2012_GER
1994,887.8463,DATASET_05_1850_2012_GER
1995,885.3614,DATASET_05_1850_2012_GER
1996,913.1011,DATASET_05_1850_2012_GER
1997,884.402,DATASET_05_1850_2012_GER
1998,877.808,DATASET_05_1850_2012_GER
1999,847.3952,DATASET_05_1850_2012_GER
2000,845.2038,DATASET_05_1850_2012_GER
2001,861.7905,DATASET_05_1850_2012_GER
2002,848.6514,DATASET_05_1850_2012_GER
2003,850.0269,DATASET_05_1850_2012_GER
2004,833.5953,DATASET_05_1850_2012_GER
2005,817.2373,DATASET_05_1850_2012_GER
2006,830.6691,DATASET_05_1850_2012_GER
2007,798.0301,DATASET_05_1850_2012_GER
2008,804.9135,DATASET_05_1850_2012_GER
2009,747.5107,DATASET_05_1850_2012_GER
2010,786.4636,DATASET_05_1850_2012_GER
2011,760.6978,DATASET_05_1850_2012_GER
2012,773.9585,DATASET_05_1850_2012_GER
